world_map_Full_Data_data
Region,Latitude,Longitude,Maximum,Mean,Minimum,N,N Obs,Number of Records,Std Dev,Total Streams
ar,-38.4161,-63.6167,455217,34228.17,9747,45200,45200,1,35709.56,1547113284
at,47.5162,14.5501,45505,4444.56,1159,45200,45200,1,3974.43,200894112
au,-25.2744,133.7751,327711,41870.16,9790,40000,40000,1,36560.02,1674806400
be,50.5039,4.4699,71667,7457.73,2004,35200,35200,1,6550.09,262512096
bo,-16.2902,-63.5887,18864,2394.66,1001,17152,17152,1,1708.05,41073208.32
br,-14.235,-51.9253,799229,84671.63,25766,36200,36200,1,60873.04,3065113006
ca,56.1304,-106.3468,438655,42796,12935,36400,36400,1,35235.48,1557774400
ch,31.2304,121.4737,66822,6379.95,1830,38000,38000,1,5470.52,242438100
cl,-35.6751,-71.543,304108,26701.92,7119,36000,36000,1,26585.58,961269120
co,4.5709,-74.2973,136855,11110.63,2758,41800,41800,1,10843.99,464424334
cr,9.7489,-83.7534,55564,4774.23,1385,45200,45200,1,4067.17,215795196
cy,35.1264,33.4299,1986,1311.17,1004,255,255,1,256.4031163,334348.35
cz,49.8175,15.473,27475,2744.02,1001,44091,44091,1,2300.22,120986585.82
de,51.1657,10.4515,857625,78938.03,22321,45200,45200,1,68263.89,3567998956
dk,56.2639,9.5018,257701,20533.99,5677,45200,45200,1,19313.23,928136348
do,18.7357,-70.1627,20304,2532.99,1001,35320,35320,1,1987.29,89465206.8
ec,-1.8312,-78.1834,64238,3976.92,1153,45200,45200,1,3935.25,179756784
ee,58.5953,25.0136,8244,1702.03,1001,10346,10346,1,715.423943,17609202.38
es,40.4637,-3.7492,769555,50135.99,9802,45200,45200,1,52300.96,2266146748
fi,61.9241,25.7482,150164,16754.3,4480,45200,45200,1,14878.1,757294360
fr,46.2276,2.2137,288044,38147.54,13150,45200,45200,1,25432.5,1724268808
gb,55.3781,-3.436,1323982,99082.68,24727,45200,45200,1,99180.06,4478537136
gr,39.1742,21.8243,12067,2145.67,1001,15601,15601,1,1202.7,33474597.67
gt,15.7853,-90.2308,27053,2550.4,1001,39796,39796,1,2139.48,101495718.4
hk,22.3964,114.1095,29755,3977.01,1394,45200,45200,1,2670.29,179760852
hn,15.2,-86.2419,17501,2242.64,1001,25431,25431,1,1543.18,57032577.84
hu,47.1625,19.5033,23059,2563.22,1001,34655,34655,1,2127.14,88828389.1
id,-0.7893,113.9213,125639,14987.11,3113,45000,45000,1,14550.84,674419950
ie,53.4129,-8.2439,164382,8663.03,2003,45200,45200,1,9117.91,391568956
is,64.9631,-19.0208,20486,2194.48,1001,19690,19690,1,1518.75,43209311.2
it,41.8719,12.5674,387049,29231.38,5320,45200,45200,1,26519.68,1321258376
jp,36.2048,138.2529,21698,3421.14,1001,43599,43599,1,2538.62,149158282.86
lt,55.1694,23.8813,7450,1827.28,1001,12306,12306,1,762.6103704,22486507.68
lv,56.8796,24.6032,6623,1727.76,1001,11769,11769,1,691.4754323,20334007.44
mx,23.6345,-102.5528,831867,84139.62,24613,45200,45200,1,75556.38,3803110824
my,4.2105,101.9758,86421,8440.68,2136,45200,45200,1,7490.61,381518736
nl,53.1326,5.2913,482458,46431.47,10948,45200,45200,1,43914.5,2098702444
no,60.472,8.4689,388200,27770.54,6631,45200,45200,1,28573.1,1255228408
nz,-40.9006,174.886,97549,10460,3268,45200,45200,1,8942.62,472792000
pa,8.538,-80.7821,23881,2500.56,1001,29378,29378,1,1838.43,73461451.68
pe,-9.19,-75.0152,158383,13648.75,2892,45200,45200,1,13218.74,616923500
ph,12.8797,121.774,367367,44312.08,11004,45200,45200,1,38841.36,2002906016
pl,51.9194,19.1451,114206,9977.16,2821,45200,45200,1,8682.06,450967632
pt,39.3999,-8.2245,75373,5975.77,1136,45200,45200,1,5396.46,270104804
py,-23.4425,-58.4438,32255,2966.83,1001,30328,30328,1,2704.92,89978020.24
se,60.1282,18.6435,589730,46771.53,12059,45200,45200,1,49363.92,2114073156
sg,1.3521,103.8198,93212,10028.25,2224,45200,45200,1,9118.9,453276900
sk,48.669,19.699,9225,1875.74,1001,12707,12707,1,880.9768552,23835028.18
sv,13.7942,-88.8965,16297,2081.23,1001,21797,21797,1,1340.59,45364570.31
tr,38.9637,35.2433,259368,11068.74,3510,45200,45200,1,9795.5,500307048
tw,23.6978,12.9605,61222,5883.66,1591,45200,45200,1,4767.38,265941432
us,37.0902,-95.7129,4068152,351917.42,122488,45200,45200,1,270834.45,15906667384
uy,-32.5228,-55.7658,37179,2784.11,1001,39404,39404,1,2481.27,109705070.44
